Paragraph,Question,Answer
"Mermaid Inn is an overall good restaurant with really good seafood . The menu is limited but almost all of the dishes are excellent . The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great . The service is good and ambience is good for a date or group outing . The only fallback on this restaurant is the prices . Even though its good seafood , the prices are too high . The lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .",how much for the lobster sandwich ?,$ 24
"Mermaid Inn is an overall good restaurant with really good seafood . The menu is limited but almost all of the dishes are excellent . The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great . The service is good and ambience is good for a date or group outing . The only fallback on this restaurant is the prices . Even though its good seafood , the prices are too high . The lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .",is the lobster sandwich worth the money ?,not nearly enough to warrant that price
Authentic Taiwanese food that 's cheap ... what more could you ask for ? ( Besides that there should be more restaurants like it around the city ) . The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan .,is their food authentic ?,Authentic
"The place is a BISTRO which means : simple dishes and wine served efficiently in a bustling atmosphere . And where does Patis go wrong ; no where . You are not eating haut cuisine with subtle hints of whatever but : Cassuolet , Steake Fritte , Tripe Stew , etc ; simple stuff . And evaluated on those terms Pastis is simply wonderful .",how is the atmosphere ?,bustling
"Patsy 's Pizza = true love Hands down the best pizza on the planet . My bf and I go to the walk-up counter and order a pie . In about 12 minutes , the thing is gone . Need I say more ?",how is their pizza ?,best pizza on the planet
I go and eat out at many different restaurants and this is one place you have go and try . This is my first time writing a review for a restaurant because the food and service was excellent . The filet mignon dish was superb ! I would defiantly come back here again as one of my top choices . It 's a small cute restaurant .,how is the service ?,excellent
I go and eat out at many different restaurants and this is one place you have go and try . This is my first time writing a review for a restaurant because the food and service was excellent . The filet mignon dish was superb ! I would defiantly come back here again as one of my top choices . It 's a small cute restaurant .,how is the filet mignon ?,superb
I go and eat out at many different restaurants and this is one place you have go and try . This is my first time writing a review for a restaurant because the food and service was excellent . The filet mignon dish was superb ! I would defiantly come back here again as one of my top choices . It 's a small cute restaurant .,will you come back again ?,would defiantly come back
"Volare virgins or weekly regulars , everyone gets treated the same and you ca n't ask for more than that when the service is this friendly . The restaurant has a Family feel , not least with regard to the portions which are enormous ; the veal alone could have single-handedly solved third world famine . The anti-pasta was excellent , especially the calamari , as were the filling pasta mains . The wine list is extensive and can easily hike up an otherwise reasonably priced meal . Still , any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house ...",how is the portion ?,enormous
"Volare virgins or weekly regulars , everyone gets treated the same and you ca n't ask for more than that when the service is this friendly . The restaurant has a Family feel , not least with regard to the portions which are enormous ; the veal alone could have single-handedly solved third world famine . The anti-pasta was excellent , especially the calamari , as were the filling pasta mains . The wine list is extensive and can easily hike up an otherwise reasonably priced meal . Still , any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house ...",how is the wine list ?,extensive
"I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose . It melted in my little mouth and the perfect consistency-not too fishy , creamy , and slightly buttery . The sushi seemed pretty fresh and was adequately proportioned . The rice to fish ration was also good -- they did n't try to overpack the rice . We took advanatage of the half price sushi deal on saturday so it was well worth it .",is the sushi fresh there ?,pretty fresh
"Best restaurant in Brooklyn The best ! Great food , amazing service , this place is a class act . The veal was incredible last night . Fresh , mind blowing flavors . This place is a must visit !",how is the food ?,Great
"Best restaurant in Brooklyn The best ! Great food , amazing service , this place is a class act . The veal was incredible last night . Fresh , mind blowing flavors . This place is a must visit !",how is their service ?,amazing
"One of the BEST Bukhara Grill , the tagline says it all.. "" INDIAN SPICE RAVE "" My GF and I dine at Bukhara often as she lives near it . The lunch buffet is expensive but is deff worth it . We go often for lunch and the place is packed . We have gone for dinner only a few times but the same great quality and service is given . Bukhara is on my top 5 Indian places in NYC",how is the lunch buffet ?,expensive but is deff worth it
"One of the BEST Bukhara Grill , the tagline says it all.. "" INDIAN SPICE RAVE "" My GF and I dine at Bukhara often as she lives near it . The lunch buffet is expensive but is deff worth it . We go often for lunch and the place is packed . We have gone for dinner only a few times but the same great quality and service is given . Bukhara is on my top 5 Indian places in NYC",how many times have you been there for dinner ?,only a few
"One of the BEST Bukhara Grill , the tagline says it all.. "" INDIAN SPICE RAVE "" My GF and I dine at Bukhara often as she lives near it . The lunch buffet is expensive but is deff worth it . We go often for lunch and the place is packed . We have gone for dinner only a few times but the same great quality and service is given . Bukhara is on my top 5 Indian places in NYC",how would you rate Bukhara in the area of New York City ?,top 5 Indian places
"I really liked this place . Everything I had was good , and I 'm a eater . It was pretty inexpensive too .",how is their price ?,pretty inexpensive
"My Girlfriend and I stumbled onto this hopping place the other night and had a great time ! THe Pizza and wine were excellent - the service too -- but what really MADE this place was the backyard dining area . It is one the nicest outdoor restaurants I have ever seen in NY -- I am from Italy and this place rivals the ones in my country . They tell me they are going to cover the garden in glass for the winter , so i 'm looking forward to going there on a snowy night to enjoy it . Check this place out ! HIGHLY RECOMMENDED ! ! ! ! !",do you like their service ?,excellent
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread ! Veal Parmigana - Better than Patsy 's ! Much more reasonably priced too ! I take all my NYC guests to VT 's .",how is the crust of the pizza ?,"tastes like the best , freshly baked bread"
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread ! Veal Parmigana - Better than Patsy 's ! Much more reasonably priced too ! I take all my NYC guests to VT 's .",what do you think of the price ?,Much more reasonably priced
Great bagels made the old-fashioned way . The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price ( if bought by the pound ) . Drawbacks : service is slow and they do n't toast !,do you like their appetizer ?,excellent - just as good as Zabars Barney Greengrass at a reasonable price ( if bought by the pound )
Great bagels made the old-fashioned way . The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price ( if bought by the pound ) . Drawbacks : service is slow and they do n't toast !,how is their service ?,slow and they do n't toast
I 'm still mad that i had to pay for lousy food . The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed . Service was also horrible and the ambience is not that great . DO not try unless you 're just going there to hang out like the rest of the hipsters who apparently have no sense of taste .,do you like their food ?,still mad that i had to pay for lousy
I 'm still mad that i had to pay for lousy food . The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed . Service was also horrible and the ambience is not that great . DO not try unless you 're just going there to hang out like the rest of the hipsters who apparently have no sense of taste .,how is the hanger steak ?,like rubber
I 'm still mad that i had to pay for lousy food . The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed . Service was also horrible and the ambience is not that great . DO not try unless you 're just going there to hang out like the rest of the hipsters who apparently have no sense of taste .,how is the tuna there ?,flavorless not to mention it tasted like it had just been thawed
I 'm still mad that i had to pay for lousy food . The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed . Service was also horrible and the ambience is not that great . DO not try unless you 're just going there to hang out like the rest of the hipsters who apparently have no sense of taste .,do you like their service ?,horrible
I 'm still mad that i had to pay for lousy food . The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed . Service was also horrible and the ambience is not that great . DO not try unless you 're just going there to hang out like the rest of the hipsters who apparently have no sense of taste .,how is the ambience ?,not that great
"A friend from Seattle and I went on a Thursday night around 8:30 . Everything was wonderful ; food , drinks , staff , mileau . I would highly recommend this place !",is the food good there ?,wonderful
"A friend from Seattle and I went on a Thursday night around 8:30 . Everything was wonderful ; food , drinks , staff , mileau . I would highly recommend this place !",do you recommend this place ?,highly recommend
I can not imagine a friendlier staff working in a restaurant . I can not imagine better Indian food in all of the city . I can not imagine you not rushing out to eat there .,is it the best indian food in this city ?,can not imagine better
cirspy crust margherita pizza we have been there 3 times since last week we alked it by chance first day the manager offerd us the margherita pizza adn we said yes . it was really good pizza . the crust was imazingly cooked well and pizza was fully loaded : ) : ) : ) you know what i mean all the positives things happening there made mw write this review .,how is the margherita pizza ?,good
cirspy crust margherita pizza we have been there 3 times since last week we alked it by chance first day the manager offerd us the margherita pizza adn we said yes . it was really good pizza . the crust was imazingly cooked well and pizza was fully loaded : ) : ) : ) you know what i mean all the positives things happening there made mw write this review .,how is the crust of the pizza ?,imazingly cooked well
Overpriced and not tasty The food here was mediocre at best . It was totally overpriced- fish and chips was about $ 15 ... . There are so many other great places to go to eat and drink ... .. this place is not worth it ...,how much for fish and chips ?,about $ 15
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A . Being serious sushi lovers , we sat at the sushi bar to be closer to the action . I asked the chef what he recommends and he asked me if I like Uni . ( For those of you who do n't know , Uni is Sea Urchin in Japanese , which happens to be my favorite . ) He served me an Uni Hand roll , which I never had before , and let me tell you ... IT WAS HEAVEN ! Aside from the Sea Urchin , the chef recommended an assortment of fish including Fatty Yellow Tail , Boton Shrimp , Blue Fin Torro ( Fatty Tuna ) , Sea Eel , etc . The sake menu should not be overlooked ! All in all , this midtown gem instantly became one of my favorite sushi restaurants in the city . Try the lobster teriyaki and the rose special roll .",what 's Uni ?,Sea Urchin in Japanese
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A . Being serious sushi lovers , we sat at the sushi bar to be closer to the action . I asked the chef what he recommends and he asked me if I like Uni . ( For those of you who do n't know , Uni is Sea Urchin in Japanese , which happens to be my favorite . ) He served me an Uni Hand roll , which I never had before , and let me tell you ... IT WAS HEAVEN ! Aside from the Sea Urchin , the chef recommended an assortment of fish including Fatty Yellow Tail , Boton Shrimp , Blue Fin Torro ( Fatty Tuna ) , Sea Eel , etc . The sake menu should not be overlooked ! All in all , this midtown gem instantly became one of my favorite sushi restaurants in the city . Try the lobster teriyaki and the rose special roll .",what does the assortment of fish have ?,"Fatty Yellow Tail , Boton Shrimp , Blue Fin Torro ( Fatty Tuna ) , Sea Eel , etc"
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A . Being serious sushi lovers , we sat at the sushi bar to be closer to the action . I asked the chef what he recommends and he asked me if I like Uni . ( For those of you who do n't know , Uni is Sea Urchin in Japanese , which happens to be my favorite . ) He served me an Uni Hand roll , which I never had before , and let me tell you ... IT WAS HEAVEN ! Aside from the Sea Urchin , the chef recommended an assortment of fish including Fatty Yellow Tail , Boton Shrimp , Blue Fin Torro ( Fatty Tuna ) , Sea Eel , etc . The sake menu should not be overlooked ! All in all , this midtown gem instantly became one of my favorite sushi restaurants in the city . Try the lobster teriyaki and the rose special roll .",any recommended dish ?,lobster teriyaki and the rose special roll
"How is this palce still open ? I honestly do n't even know where to begin . My boyfriend and I are avid restaurant goers , and we are always on the lookout for new places and our friend had recommended Flatbush Farms . We arrived and were seated immediately , which made us both happy . We ordered our appetizers , I ordered the chicken and my boyfriend the salmon . Everything was going good until we got our meals . I took one look at the chicken and I was appalled . It was served with skin , over a bed of extremely undercooked spinach and mashed potatoes . My boyfriend asked me if I wanted to switch and eat his salmon instead , while he de-skinned the chicken so that I could enjoy the white meat . I took one bite from the $ 24 salmon , and I have never , in the 17 years I have been going to restaurants tasted salmon as fishy , as dry , and as bland as the one in Flatbush Farms . At this point , the waitress comes over and asks us if everything was okay , I was literally so shocked that I was speechless and did n't say anything , and guess what , the waitress WALKED away . So , I switch with my boyfriend again to see if maybe I could stomach the meat and spinach again , but the spinach was so undercooked that I just could not bite through it . I could n't even enjoy the mashed potatoes because it was hidden completely under the chicken and spinach . I 've had better chicken at BBQs ! ! ! ! So I decide to report back to the waitress because it was completely inedible . Guess what , I waited for TWENTY minutes before she came over and when she finally did , she says , "" oh well , I wish you would have said something earlier "" No apology , nothing . After that she simply took our plates , walked away , came back another TWENTY minutes later with the bill and the chicken on it ! ! ! ! ! ! ! ! ! ! ! ! No desert menu , no apology , nothing ! ! ! ! ! ! I was literally going to explode , but instead , my boyfriend took the bill and went to find the manager . This is where it really really gets bad : the manager said , there is absolutely nothing we can do , it 's a matter of taste that she did n't like it , and I can not comp it . Again , no apology , no is there anything else I can get you , no can I get you a drink to make up for it , nothing ! ! ! ! We refused to pay for it because at this point it had nothing to do with the food anymore . The level of rudeness was preposterous . The manager came to the table and said we can do what we want , so we paid for what we did enjoy , the drinks and appetizers , and walked out . I HAVE NEVER EVER HAD SUCH AN UNPLEASANT EXPERIENCE . THIS STAFF SHOULD BE FIRED .",how much for the salmon ?,$ 24
"This place is great . I had a huge group for my birthday and we were well taken care of . The waitress was very patient with us and the food is phenomenal ! Service was prompt , friendly and great . Slightly on the pricey side but worth it !",is the food good ?,phenomenal
"This place is great . I had a huge group for my birthday and we were well taken care of . The waitress was very patient with us and the food is phenomenal ! Service was prompt , friendly and great . Slightly on the pricey side but worth it !",do you like their service ?,"prompt , friendly and great"
"This place is great . I had a huge group for my birthday and we were well taken care of . The waitress was very patient with us and the food is phenomenal ! Service was prompt , friendly and great . Slightly on the pricey side but worth it !",what do you think of the price ?,Slightly on the pricey side but worth it
Right off the L in Brooklyn this is a nice cozy place with good pizza . Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . My friend got the mushroom pizza which tasted better . The sangria was pretty tasty and good on a hot muggy day . Kind of a small place but I guess if they are not too busy might be able to fit a group or kids . Overall I would recommend it and go back again . Coming from Boston this place is like Emma 's Pizza in Kendall Square in Cambridge ( although they have more funky toppings ! ),how is their pizza overall ?,good
Right off the L in Brooklyn this is a nice cozy place with good pizza . Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . My friend got the mushroom pizza which tasted better . The sangria was pretty tasty and good on a hot muggy day . Kind of a small place but I guess if they are not too busy might be able to fit a group or kids . Overall I would recommend it and go back again . Coming from Boston this place is like Emma 's Pizza in Kendall Square in Cambridge ( although they have more funky toppings ! ),do they serve veg pizza ?,mushroom pizza
Right off the L in Brooklyn this is a nice cozy place with good pizza . Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . My friend got the mushroom pizza which tasted better . The sangria was pretty tasty and good on a hot muggy day . Kind of a small place but I guess if they are not too busy might be able to fit a group or kids . Overall I would recommend it and go back again . Coming from Boston this place is like Emma 's Pizza in Kendall Square in Cambridge ( although they have more funky toppings ! ),how is the sangria ?,pretty tasty
Right off the L in Brooklyn this is a nice cozy place with good pizza . Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . My friend got the mushroom pizza which tasted better . The sangria was pretty tasty and good on a hot muggy day . Kind of a small place but I guess if they are not too busy might be able to fit a group or kids . Overall I would recommend it and go back again . Coming from Boston this place is like Emma 's Pizza in Kendall Square in Cambridge ( although they have more funky toppings ! ),is this place roomy ?,Kind of a small
Right off the L in Brooklyn this is a nice cozy place with good pizza . Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . My friend got the mushroom pizza which tasted better . The sangria was pretty tasty and good on a hot muggy day . Kind of a small place but I guess if they are not too busy might be able to fit a group or kids . Overall I would recommend it and go back again . Coming from Boston this place is like Emma 's Pizza in Kendall Square in Cambridge ( although they have more funky toppings ! ),will you recommend this place to other people ?,Overall I would
Right off the L in Brooklyn this is a nice cozy place with good pizza . Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . My friend got the mushroom pizza which tasted better . The sangria was pretty tasty and good on a hot muggy day . Kind of a small place but I guess if they are not too busy might be able to fit a group or kids . Overall I would recommend it and go back again . Coming from Boston this place is like Emma 's Pizza in Kendall Square in Cambridge ( although they have more funky toppings ! ),will you come back again ?,go back again
"Everytime I decide to try another place on the UES , I get angry that I did n't just go to Zucchero Pomodori . This is by far my favorite place in the neighborhood . The service is excellent , the decor is great , and the food is delicious and comes in large portions . You 'll pay at least double at any other Italian restaurant in the city , and most still do n't compare . I 'm partial to the Gnocchi .",do you like their service ?,excellent
"Everytime I decide to try another place on the UES , I get angry that I did n't just go to Zucchero Pomodori . This is by far my favorite place in the neighborhood . The service is excellent , the decor is great , and the food is delicious and comes in large portions . You 'll pay at least double at any other Italian restaurant in the city , and most still do n't compare . I 'm partial to the Gnocchi .",how is the portion of the food ?,large
"Everytime I decide to try another place on the UES , I get angry that I did n't just go to Zucchero Pomodori . This is by far my favorite place in the neighborhood . The service is excellent , the decor is great , and the food is delicious and comes in large portions . You 'll pay at least double at any other Italian restaurant in the city , and most still do n't compare . I 'm partial to the Gnocchi .",what 's the style of their food ?,Italian
"Best meal in a long time ! Mussles and calamari were superb Saturday evening . I had the Lamb special which was perfect . My father had the flank steak which was very good , and my mother had the swordfish .",do you like their mussles ?,superb
"Best meal in a long time ! Mussles and calamari were superb Saturday evening . I had the Lamb special which was perfect . My father had the flank steak which was very good , and my mother had the swordfish .",how is the lamb special ?,perfect
"Best meal in a long time ! Mussles and calamari were superb Saturday evening . I had the Lamb special which was perfect . My father had the flank steak which was very good , and my mother had the swordfish .",how is the flank steak ?,very good
"The service was the only thing good about this restaurant . It 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor . I definitely would n't go back .",how about their service ?,the only thing good about this restaurant
"The service was the only thing good about this restaurant . It 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor . I definitely would n't go back .",how is the sushi there ?,pretty below average
"Great food , great prices , great service . If you are looking for a good quality , cheap eats - this is the place .",how do you like their food ?,Great
"Great food , great prices , great service . If you are looking for a good quality , cheap eats - this is the place .",how is their price ?,great
"Great food , great prices , great service . If you are looking for a good quality , cheap eats - this is the place .",how is their service ?,great
This was a great surprise . With the theater 2 blocks away we had a delicious meal in a beautiful room . The service was attentive . I look forward to eating here again,how is the service there ?,attentive
This was a great surprise . With the theater 2 blocks away we had a delicious meal in a beautiful room . The service was attentive . I look forward to eating here again,will you come back again ?,look forward
Just went here for my girlfriends 23rd bday . If you 've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer . Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening . The lava cake dessert was incredible and I recommend it .,do you like their service ?,great
Just went here for my girlfriends 23rd bday . If you 've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer . Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening . The lava cake dessert was incredible and I recommend it .,how is their price ?,reasonable
Just went here for my girlfriends 23rd bday . If you 've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer . Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening . The lava cake dessert was incredible and I recommend it .,anything to recommend here ?,lava cake dessert
"Not because you are "" The Four Seasons "" ... – you are allowed to charge an arm and a leg for a romatic dinner . The food was excellent as well as service , however , I left The Four Seasons very dissappointed . I do not think dinner in Manhattan should cost $ 400.00 where I am not swept off my feet .",like their service ?,excellent
"Thalia is a beautiful restaurant with beautiful people serving you , but the food does n't quite match up . I ordered the smoked salmon and roe",how do you like their food ?,n't quite match up
"Thalia is a beautiful restaurant with beautiful people serving you , but the food does n't quite match up . I ordered the smoked salmon and roe",do they have an appetizer with salmon ?,smoked salmon and roe
"Once you step into Cosette , you 're miraculously in a small , off-the-beaten path Parisian bistro . This tiny restaurant is as cozy as it gets , with that certain Parisian flair . The food was average to above-average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way . However , go for the ambience , and consider the food just a companion for a trip across the world !",how is the food there ?,average to above-average
"Once you step into Cosette , you 're miraculously in a small , off-the-beaten path Parisian bistro . This tiny restaurant is as cozy as it gets , with that certain Parisian flair . The food was average to above-average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way . However , go for the ambience , and consider the food just a companion for a trip across the world !",do they have onion soup ?,French Onion soup
"Once you step into Cosette , you 're miraculously in a small , off-the-beaten path Parisian bistro . This tiny restaurant is as cozy as it gets , with that certain Parisian flair . The food was average to above-average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way . However , go for the ambience , and consider the food just a companion for a trip across the world !",how is their french onion soup ?,filling yet not overly impressive
I work around the corner and tried it with a colleague for the first time . The buffet had a nice selection . The food was average or above including some surprising tasty dishes . Service was also very good . I would go back .,how do you rate their dishes ?,average or above including some surprising tasty dishes
I work around the corner and tried it with a colleague for the first time . The buffet had a nice selection . The food was average or above including some surprising tasty dishes . Service was also very good . I would go back .,do you like their service ?,very good
I work around the corner and tried it with a colleague for the first time . The buffet had a nice selection . The food was average or above including some surprising tasty dishes . Service was also very good . I would go back .,will you come back again ?,would
This is the BEST Shabu-Shabu Restaurant in the Try-State Area . I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan . Thius is a must for anyone who loves Shabu-Shabu .,is it the best shabu-shabu place in the Try-State area ?,BEST
"Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food ! I 've been there three times and have always had wonderful experiences . I 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .",do you like their food ?,great
"Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food ! I 've been there three times and have always had wonderful experiences . I 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .",do you think their service is OK ?,nice
"Every time in New York I make it a point to visit Restaurant Saul on Smith Street . Everything is always cooked to perfection , the service is excellent , the decor cool and understated . I had the duck breast special on my last visit and it was incredible . Ca n't wait wait for my next visit .",where is Restaurant Saul located ?,New York
"Every time in New York I make it a point to visit Restaurant Saul on Smith Street . Everything is always cooked to perfection , the service is excellent , the decor cool and understated . I had the duck breast special on my last visit and it was incredible . Ca n't wait wait for my next visit .",which street is this restaurant located at ?,Smith
"Every time in New York I make it a point to visit Restaurant Saul on Smith Street . Everything is always cooked to perfection , the service is excellent , the decor cool and understated . I had the duck breast special on my last visit and it was incredible . Ca n't wait wait for my next visit .",do you like their service ?,excellent
"Every time in New York I make it a point to visit Restaurant Saul on Smith Street . Everything is always cooked to perfection , the service is excellent , the decor cool and understated . I had the duck breast special on my last visit and it was incredible . Ca n't wait wait for my next visit .",how is the duck breast special ?,incredible
"Went to Village last night for my birthday . We picked it randomly , without a recommendation from someone who has been there , so we were n't sure what to expect . We were very pleasantly surprised . The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top-notch . When my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort . Truly the mark of an attentive waiter . I highly recommend the restaurant based on our experience last night .","OK. Then, how about their food ?",delicious
"Went to Village last night for my birthday . We picked it randomly , without a recommendation from someone who has been there , so we were n't sure what to expect . We were very pleasantly surprised . The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top-notch . When my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort . Truly the mark of an attentive waiter . I highly recommend the restaurant based on our experience last night .",how is the service there ?,top-notch
"Went to Village last night for my birthday . We picked it randomly , without a recommendation from someone who has been there , so we were n't sure what to expect . We were very pleasantly surprised . The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top-notch . When my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort . Truly the mark of an attentive waiter . I highly recommend the restaurant based on our experience last night .",do you recommend this place ?,highly recommend
"Bagels are ok , but be sure not to make any special requests ! I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere ! Be sure not to get anything other than bagels ! .. the turkey burgers are scary !",how is their turkey burgers ?,scary
"I was here a few weeks back and we had the worst customer service experience at a restaurant ever . A gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order . When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants , he replied this is not Mcdonald 's , every place makes things differently While it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude . The service was poor , restaurant poorly lit , staff not very attentive and I would have rather eaten at a Mcdonald 's than this joint . Never again !",will you come back again ?,Never
"As a Japanese native , I 've lived in the Tristate area for over 8 years , but I was just so amazed at this place . This place is the most Japanese it can ever get . The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese . This place is worth an one-hour drive . I am so coming back here again , as much as I can .",is this restaurant close to authentic japanese style ?,the most Japanese
"As a Japanese native , I 've lived in the Tristate area for over 8 years , but I was just so amazed at this place . This place is the most Japanese it can ever get . The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese . This place is worth an one-hour drive . I am so coming back here again , as much as I can .",will you come back again ?,"so coming back here again , as much as I can"
"Moules were excellent , lobster ravioli was VERY salty ! Took my mom for Mother 's Day , and the maitre d ' was pretty rude . Told us to sit anywhere , and when we sat he said the table was reserved . Stepped on my foot on the SECOND time he reached over me to adjust lighting . Tiny dessert was $ 8.00 ... just plain overpriced for what it is .",how is the moules ?,excellent
"Moules were excellent , lobster ravioli was VERY salty ! Took my mom for Mother 's Day , and the maitre d ' was pretty rude . Told us to sit anywhere , and when we sat he said the table was reserved . Stepped on my foot on the SECOND time he reached over me to adjust lighting . Tiny dessert was $ 8.00 ... just plain overpriced for what it is .",i 'm interested in their the lobster ravioli ? how is that ?,VERY salty
"Moules were excellent , lobster ravioli was VERY salty ! Took my mom for Mother 's Day , and the maitre d ' was pretty rude . Told us to sit anywhere , and when we sat he said the table was reserved . Stepped on my foot on the SECOND time he reached over me to adjust lighting . Tiny dessert was $ 8.00 ... just plain overpriced for what it is .",how much for their dessert ?,$ 8.00
"delicious simple food in nice outdoor atmosphere . Kind , attentive wait staff . I really like both the scallops and the mahi mahi ( on saffron risotto-yum ! ) . My friend devoured her chicken and mashed potatos . Delicious crab cakes too . Even if the food was n't this good , the garden is a great place to sit outside and relax . Great neighborhood joint .",do they have mashed potatos ?,mashed potatos
"delicious simple food in nice outdoor atmosphere . Kind , attentive wait staff . I really like both the scallops and the mahi mahi ( on saffron risotto-yum ! ) . My friend devoured her chicken and mashed potatos . Delicious crab cakes too . Even if the food was n't this good , the garden is a great place to sit outside and relax . Great neighborhood joint .",how is the crab cakes ?,Delicious
"delicious simple food in nice outdoor atmosphere . Kind , attentive wait staff . I really like both the scallops and the mahi mahi ( on saffron risotto-yum ! ) . My friend devoured her chicken and mashed potatos . Delicious crab cakes too . Even if the food was n't this good , the garden is a great place to sit outside and relax . Great neighborhood joint .",do they have crab cakes ?,crab cakes
"The drinks are always welll made and wine selection is fairly priced . Try their chef 's specials -- they are to die for . Service is not exactly five star , but thats not really a big deal . Downstairs lounge is always a good attraction",how is the price of the wine selection ?,fairly priced
"The drinks are always welll made and wine selection is fairly priced . Try their chef 's specials -- they are to die for . Service is not exactly five star , but thats not really a big deal . Downstairs lounge is always a good attraction",do you like their service ?,"not exactly five star , but thats not really a big deal"
Myagi is one of my favorite restaurants in the City ; the place the negative reviews describe sound like they were somewhere else . I 've never had bad service and the fish is fresh and delicious . Their tuna tartar appetizer is to die for .,how about their service ?,never had bad
Myagi is one of my favorite restaurants in the City ; the place the negative reviews describe sound like they were somewhere else . I 've never had bad service and the fish is fresh and delicious . Their tuna tartar appetizer is to die for .,how is their fish tasty ?,fresh and delicious
Myagi is one of my favorite restaurants in the City ; the place the negative reviews describe sound like they were somewhere else . I 've never had bad service and the fish is fresh and delicious . Their tuna tartar appetizer is to die for .,do they have an appetizer with tuna ?,tuna tartar
"Toons has recently been redone , so it 's now a very attractive space . The food 's as good as ever . In an area sadly lacking in decent Thai food , this is one of the best spots .",how is their food ?,as good as ever
"I have been to Rao 's probably 15 times the past 3 years and it keeps getting better . For those that go once and do n't enjoy it , all I can say is that they just do n't get it . Rao 's has the best service and atmosphere in NYC . Good luck getting a table .",how is their service ?,the best service and atmosphere in NYC
"Excellent dumplings served amid clean , chic decor . I got the $ 10 10-piece dim sum combo , every bite of which was great . But $ 1 for each small piece ? ? ? Not worth it . I wo n't go back unless someone else is footing the bill .",how much for 10 pcs dim sum combo ?,$ 10
